document_id,title,document_type,domain,department,status,version,owner,path,risk_level,related_documents,keywords,review_date
ACB-REP-BATCH-AUDIT-001,ACB Batch Audit Log v1.0,Audit Log,Repository Governance,OPS - Banking Operations,Approved,1.0,Department Head,ACB_Batch_Audit_Log_v1.0.md,Medium,,ACB; Batch; Audit; Log; v1 0,2027-07-01
ACB-REP-AUDIT-001,ACB Final Repository Audit Report v1.0,Audit Report,Repository Governance,OPS - Banking Operations,Approved,1.0,Department Head,ACB_Final_Repository_Audit_Report_v1.0.md,Medium,,ACB; Final; Audit; Report; v1 0,2027-07-01
ACB-KB-BIBLE-001,APEX Commercial Bank Knowledge Base Bible,Repository Canon,Repository Governance,OPS - Banking Operations,Frozen,1.0,Department Head,ACB_Knowledge_Base_Bible_v1.0.md,Critical,,ACB; knowledge base; repository canon; document governance; metadata; cross-reference; document control; APEX; Commercial; Bank; Knowledge; Base; Bible,2027-07-01
ACB-REP-IDX-001,APEX Commercial Bank Repository Index,Controlled Repository Index,Repository Governance,OPS - Banking Operations,Approved for Document Reservation,1.0,Department Head,ACB_Repository_Index_v1.0.md,Critical,ACB-KB-BIBLE-001,ACB; repository index; document register; document reservation; cross-reference index; knowledge base release; APEX; Commercial; Bank; Index,2027-07-01
FAQ-AML-001,Potential Sanctions Name Match Resolution,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-001_Potential_Sanctions_Name_Match_Resolution.md,High,POL-AML-001; SOP-AML-001; EXM-AML-001; KOD-AML-001,AML; sanctions; screening; suspicious activity; transaction monitoring; potential sanctions name match resolution; FAQ-AML-001; Potential; Name; Match; Resolution,2027-07-01
FAQ-AML-002,Structuring Alert Review Clarification,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-002_Structuring_Alert_Review_Clarification.md,Medium,POL-AML-002; SOP-AML-002; EXM-AML-002; KOD-AML-002,AML; sanctions; screening; suspicious activity; transaction monitoring; structuring alert review clarification; FAQ-AML-002; Structuring; Alert; Review,2027-07-01
FAQ-AML-003,High Risk Customer Monitoring Question,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-003_High_Risk_Customer_Monitoring_Question.md,High,POL-AML-003; SOP-AML-003; EXM-AML-003; KOD-AML-003,AML; sanctions; screening; suspicious activity; transaction monitoring; high risk customer monitoring question; FAQ-AML-003; High; Risk; Customer; Monitoring; Question,2027-07-01
FAQ-AML-004,Delayed Transaction Monitoring Evidence,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-004_Delayed_Transaction_Monitoring_Evidence.md,Medium,POL-AML-004; SOP-AML-004; EXM-AML-004; KOD-AML-004,AML; sanctions; screening; suspicious activity; transaction monitoring; delayed transaction monitoring evidence; FAQ-AML-004; Delayed; Transaction; Monitoring; Evidence,2027-07-01
FAQ-AML-005,Suspicious Activity Escalation Threshold,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-005_Suspicious_Activity_Escalation_Threshold.md,High,POL-AML-005; SOP-AML-005; EXM-AML-001; KOD-AML-001,AML; sanctions; screening; suspicious activity; transaction monitoring; suspicious activity escalation threshold; FAQ-AML-005; Suspicious; Activity; Escalation; Threshold,2027-07-01
FAQ-AML-006,False Positive Screening Resolution,Case Repository,AML,AML - Financial Crime & AML,Approved,1.0,Department Head,documents/case_repository/FAQ-AML-006_False_Positive_Screening_Resolution.md,Medium,POL-AML-006; SOP-AML-006; EXM-AML-002; KOD-AML-002,AML; sanctions; screening; suspicious activity; transaction monitoring; false positive screening resolution; FAQ-AML-006; False; Positive; Resolution,2027-07-01
